issue	phase	area	kind	priority	model
2	Phase 2 — Hardening	Cross-cutting	Epic	P0	sonnet
3	Phase 2 — Hardening	Cross-cutting	Epic	P0	sonnet
4	Phase 2 — Hardening	DigiSmith	Epic	P1	sonnet
5	Phase 2 — Hardening	DigiGraph	Epic	P1	sonnet
6	Phase 2 — Hardening	DigiKey	Epic	P2	sonnet
7	Phase 3 — Domain unification	Website	Epic	P1	sonnet
8	Phase 3 — Domain unification	DigiChat	Epic	P1	sonnet
9	Phase 3 — Domain unification	DigiQuant	Epic	P2	sonnet
10	Phase 4 — Atlas on DigiGraph	Atlas	Epic	P2	sonnet
11	Phase 4 — Atlas on DigiGraph	Atlas	Epic	P2	sonnet
12	Phase 5 — Atlas tiering	Atlas	Epic	P3	sonnet
13	Phase 5 — Atlas tiering	Atlas	Epic	P3	sonnet
14	SITAAS pilot	SITAAS	Epic	P1	sonnet
15	Phase 2 — Hardening	Cross-cutting	Chore	P2	sonnet
16	Phase 2 — Hardening	Cross-cutting	Chore	P2	sonnet
17	Phase 2 — Hardening	Cross-cutting	Task	P2	sonnet
18	Phase 2 — Hardening	Cross-cutting	Chore	P1	sonnet
19	Phase 2 — Hardening	Docs	Task	P0	sonnet
20	Phase 2 — Hardening	SITAAS	Task	P1	sonnet
21	Phase 2 — Hardening	Cross-cutting	Task	P1	sonnet
22	Phase 3 — Domain unification	Website	Task	P1	sonnet
23	Phase 3 — Domain unification	DigiSearch	Feature	P1	sonnet
24	Phase 3 — Domain unification	DigiChat	Feature	P1	sonnet
25	SITAAS pilot	SITAAS	Task	P1	sonnet
26	SITAAS pilot	SITAAS	Task	P1	sonnet
27	SITAAS pilot	Docs	Chore	P2	sonnet
28	Phase 5 — Atlas tiering	Atlas	Research	P3	sonnet
29	Phase 3 — Domain unification	DigiChat	Research	P2	sonnet
30	Phase 5 — Atlas tiering	Cross-cutting	Research	P3	sonnet
31	Phase 2 — Hardening	Cross-cutting	Epic	P0	sonnet
33	Phase 3 — Domain unification	Website	Chore	P2	sonnet
34	Phase 2 — Hardening	Cross-cutting	Epic	P0	sonnet
40	Phase 2 — Hardening	Cross-cutting	Chore	P1	sonnet
41	Phase 2 — Hardening	Cross-cutting	Epic	P1	sonnet
42	Phase 2 — Hardening	DigiQuant	Bug	P0	opus
43	Phase 2 — Hardening	Cross-cutting	Chore	P1	sonnet
77	Phase 2 — Hardening	Cross-cutting	Chore	P1	sonnet
79	Phase 3 — Domain unification	Website	Feature	P2	sonnet
80	Phase 3 — Domain unification	Website	Chore	P2	sonnet
81	Phase 3 — Domain unification	Website	Feature	P2	sonnet
82	Phase 3 — Domain unification	Docs	Chore	P2	sonnet
83	Phase 3 — Domain unification	DigiGraph	Task	P2	sonnet
84	Phase 3 — Domain unification	DigiGraph	Feature	P2	sonnet
85	Phase 3 — Domain unification	DigiGraph	Feature	P2	sonnet
86	Phase 3 — Domain unification	DigiGraph	Feature	P2	sonnet
87	Phase 3 — Domain unification	DigiGraph	Task	P2	sonnet
95	Phase 3 — Domain unification	Docs	Bug	P2	sonnet
96	Phase 3 — Domain unification	DigiGraph	Task	P2	sonnet
97	Phase 3 — Domain unification	DigiSearch	Task	P2	sonnet
98	Phase 3 — Domain unification	Docs	Task	P2	sonnet
100	Phase 3 — Domain unification	Website	Task	P2	sonnet
101	Phase 3 — Domain unification	Website	Task	P2	sonnet
103	Phase 3 — Domain unification	Docs	Chore	P2	sonnet
105	Phase 2 — Hardening	Cross-cutting	Feature	P2	sonnet
106	SITAAS pilot	DigiGraph	Feature	P1	sonnet
108	Phase 2 — Hardening	Cross-cutting	Feature	P2	sonnet
109	Phase 2 — Hardening	Cross-cutting	Chore	P2	sonnet
110	SITAAS pilot	DigiGraph	Feature	P1	sonnet
111	Phase 2 — Hardening	Cross-cutting	Feature	P2	sonnet
121	Phase 2 — Hardening	Cross-cutting	Feature	P2	sonnet
126	Phase 2 — Hardening	Cross-cutting	Chore	P1	sonnet
